Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
I1,28/08/16,Sassuolo,Pescara,2,1,H,1,0,H,13,15,3,5,12,21,2,7,2,2,0,0,1.62,3.75,6,1.62,3.7,5.5,1.6,3.7,5.4,1.62,3.75,5.75,1.64,3.98,6.33,1.62,3.75,5.5,1.6,3.8,6.5,51,1.7,1.63,4,3.79,6.5,5.73,41,2.07,1.98,1.9,1.8,31,-1,2.23,2.13,1.78,1.73,1.66,4,5.99
I1,28/08/16,Torino,Bologna,5,1,H,2,1,H,20,10,11,2,14,12,6,3,1,2,0,0,1.85,3.5,4.5,1.8,3.5,4.4,1.8,3.4,4.4,1.8,3.4,4.5,1.87,3.56,4.91,1.83,3.4,4.5,1.83,3.4,5,52,1.88,1.83,3.56,3.44,5,4.66,39,2.34,2.24,1.7,1.63,27,-0.5,1.88,1.83,2.09,2.02,1.93,3.46,4.74
I1,28/08/16,Udinese,Empoli,2,0,H,1,0,H,11,13,3,4,15,19,4,5,3,3,0,1,2.05,3.4,3.75,2.1,3.2,3.6,2.1,3.2,3.4,2.05,3.1,3.8,2.11,3.28,4.13,2.1,3.25,3.6,2.1,3.13,4.1,53,2.13,2.08,3.4,3.24,4.13,3.79,40,2.37,2.27,1.66,1.61,28,-0.5,2.12,2.07,1.86,1.8,2.07,3.4,4.04
I1,10/09/16,Juventus,Sassuolo,3,1,H,3,1,H,23,9,10,3,10,12,14,5,1,2,0,0,1.3,5,12,1.33,5,10.5,1.35,4.8,7.6,1.3,4.75,12,1.33,5.41,12.23,1.33,4.5,11,1.3,5.4,11,56,1.37,1.31,5.43,4.96,13,11.35,44,2.1,2.02,1.86,1.77,35,-1.5,2.05,2,1.9,1.85,1.32,5.43,12.5
I1,10/09/16,Palermo,Napoli,0,3,A,0,0,D,5,17,1,7,14,7,2,4,0,0,0,0,9,5,1.33,7.5,5,1.4,7.3,4.4,1.4,8.5,5,1.35,9.44,5.43,1.37,8,4.5,1.4,8,5.5,1.33,56,9.6,8.63,5.65,5.09,1.42,1.36,40,1.66,1.6,2.4,2.28,32,1.5,1.92,1.85,2.08,1.99,9.15,5.06,1.4
I1,11/09/16,Atalanta,Torino,2,1,H,0,0,D,22,14,3,7,16,20,4,4,2,2,0,0,2.6,3.2,2.8,2.7,3.1,2.8,2.6,3.2,2.6,2.5,3.1,2.8,2.68,3.27,2.93,2.5,3.1,2.9,2.63,3.2,2.88,55,2.7,2.6,3.36,3.19,2.93,2.81,45,2.11,2.01,1.84,1.78,30,0,1.9,1.85,2.07,1.99,2.67,3.22,2.99
I1,11/09/16,Bologna,Cagliari,2,1,H,1,0,H,17,11,10,5,13,9,9,4,1,3,0,1,2.1,3.25,3.75,2.2,3.25,3.5,2.1,3.3,3.3,2.1,3.1,3.6,2.18,3.29,3.89,2.15,3.2,3.5,2.3,3,3.6,56,2.3,2.13,3.35,3.23,4,3.64,45,2.25,2.14,1.76,1.69,30,-0.25,1.86,1.82,2.09,2.04,2.25,3.31,3.67
I1,11/09/16,Chievo,Lazio,1,1,D,0,0,D,7,11,4,3,14,15,2,1,2,5,0,0,3,3.2,2.5,3,3.1,2.55,2.6,3.2,2.6,3,3.1,2.4,3.19,3.2,2.54,2.9,3.1,2.5,3.25,3,2.5,56,3.25,3.05,3.25,3.12,2.6,2.47,42,2.5,2.34,1.62,1.57,30,0.25,1.83,1.78,2.16,2.09,3.68,3.23,2.28
I1,11/09/16,Milan,Udinese,0,1,A,0,0,D,14,10,2,2,10,9,8,8,1,5,0,0,1.67,4,5,1.67,4,5,1.65,3.6,5.1,1.67,3.8,5,1.71,4.03,5.32,1.67,3.6,5.5,1.67,3.8,5.75,56,1.75,1.68,4.14,3.87,5.75,5.09,45,1.83,1.77,2.11,2.02,34,-1,2.31,2.21,1.73,1.69,1.62,4.28,5.94
I1,11/09/16,Pescara,Inter,1,2,A,0,0,D,10,22,5,7,14,10,3,13,1,1,0,0,4.75,3.75,1.75,4.6,3.7,1.78,4.5,3.5,1.75,4.5,3.6,1.75,4.9,3.89,1.79,4.8,3.3,1.8,5.2,3.6,1.75,56,5.2,4.7,3.89,3.66,1.84,1.77,45,1.95,1.87,1.99,1.9,34,1,1.65,1.6,2.52,2.38,4.58,3.58,1.92
I1,11/09/16,Roma,Sampdoria,3,2,H,1,2,A,24,12,8,7,12,13,11,7,3,2,0,0,1.33,5.25,9,1.34,5.5,8.25,1.4,4.4,7.3,1.35,4.75,9,1.36,5.42,9.86,1.33,5,9,1.33,5.25,10,56,1.41,1.35,5.57,5.16,10,8.74,38,1.63,1.56,2.48,2.37,35,-1.5,2.08,2,1.88,1.85,1.38,5.4,8.98
I1,12/09/16,Empoli,Crotone,2,1,H,1,1,D,13,6,5,2,16,20,5,0,1,1,0,1,1.57,4,6,1.57,4,6.25,1.6,3.7,5.4,1.6,3.8,5.75,1.63,4.05,6.22,1.55,4,6,1.6,4,6,55,1.65,1.59,4.27,3.91,6.5,5.97,45,1.98,1.89,1.95,1.88,35,-1,2.11,2.01,1.88,1.83,1.79,3.55,5.55
